INDIVIDUALS	Longitude	Latitude
red688	-50.98	43.06
red689	-50.98	43.06
red690	-50.98	43.06
red691	-50.98	43.06
red692	-50.98	43.06
red693	-50.98	43.06
red694	-50.98	43.06
red695	-50.98	43.06
red386	-48.51	48.04
red387	-48.51	48.04
red388	-48.51	48.04
red389	-48.51	48.04
red390	-48.51	48.04
red391	-48.51	48.04
red392	-48.51	48.04
red393	-48.51	48.04
red394	-48.51	48.04
red395	-48.51	48.04
red396	-48.51	48.04
red397	-48.51	48.04
red398	-48.51	48.04
red399	-48.51	48.04
red400	-48.51	48.04
red401	-49.08	48.31
red402	-49.08	48.31
red403	-49.08	48.31
red404	-49.08	48.31
red405	-49.08	48.31
red406	-49.08	48.31
red407	-49.08	48.31
red408	-49.08	48.31
red409	-49.08	48.31
red410	-49.08	48.31
red411	-49.14	48.36
red412	-49.14	48.36
red413	-49.14	48.36
red414	-49.14	48.36
red415	-49.34	48.31
red416	-49.34	48.31
red417	-49.34	48.31
red418	-49.34	48.31
red419	-49.34	48.31
red420	-49.34	48.31
red700	-54.44	44.93
red702	-54.44	44.93
red703	-54.44	44.93
red704	-54.44	44.93
red706	-54.44	44.93
red707	-54.44	44.93
red708	-54.44	44.93
red709	-54.44	44.93
red710	-54.44	44.93
red712	-53.96	44.53
red790	-54.44	44.93
red791	-54.44	44.93
red792	-54.44	44.93
red794	-54.44	44.93
red795	-54.44	44.93
red796	-54.44	44.93
red797	-54.44	44.93
red798	-53.96	44.53
red800	-53.96	44.53
red801	-53.96	44.53
red802	-53.96	44.53
red803	-53.96	44.53
red804	-53.96	44.53
red139	-65.41	49.82
red144	-65.41	49.82
red145	-65.41	49.82
red146	-65.41	49.82
red148	-65.41	49.82
red150	-65.41	49.82
red151	-65.41	49.82
red152	-65.41	49.82
red153	-65.41	49.82
red154	-65.41	49.82
red155	-65.41	49.82
red162	-65.41	49.82
red163	-65.41	49.82
red165	-65.41	49.82
red166	-65.41	49.82
red167	-65.41	49.82
red169	-65.41	49.82
red170	-65.41	49.82
red174	-65.41	49.82
red287	-60.15	49.17
red288	-58.7	50.25
red290	-58.7	50.25
red292	-58.08	50.13
red297	-58.08	50.13
red308	-58.08	50.13
red631	-56.17	49.5
red632	-56.17	49.5
red633	-56.17	49.5
red634	-56.17	49.5
red635	-56.17	49.5
red636	-56.17	49.5
red637	-56.17	49.5
red638	-56.17	49.5
red639	-56.17	49.5
red640	-56.17	49.5
red641	-56.17	49.5
red642	-56.17	49.5
red643	-56.17	49.5
red644	-56.17	49.5
red645	-56.17	49.5
red646	-56.17	49.5
red647	-56.17	49.5
red648	-56.17	49.5
red649	-56.17	49.5
red650	-56.17	49.5
red651	-56.17	49.5
red652	-56.17	49.5
red653	-56.17	49.5
red654	-56.17	49.5
red655	-56.17	49.5
red656	-56.17	49.5
red657	-56.17	49.5
red658	-56.17	49.5
red659	-56.17	49.5
red660	-56.17	49.5
red661	-56.17	49.5
red662	-56.17	49.5
red663	-56.17	49.5
red664	-56.17	49.5
red596	-53.64	48.17
red597	-53.64	48.17
red598	-53.64	48.17
red599	-53.64	48.17
red600	-53.64	48.17
red601	-53.64	48.17
red602	-53.64	48.17
red603	-53.64	48.17
red604	-53.64	48.17
red605	-53.64	48.17
red606	-53.64	48.17
red607	-53.64	48.17
red608	-53.64	48.17
red609	-53.64	48.17
red610	-53.64	48.17
red611	-53.64	48.17
red612	-53.64	48.17
red613	-53.64	48.17
red614	-53.64	48.17
red615	-53.64	48.17
red616	-53.64	48.17
red617	-53.64	48.17
red618	-53.64	48.17
red619	-53.64	48.17
red620	-53.64	48.17
red621	-53.64	48.17
red622	-53.64	48.17
red623	-53.64	48.17
red624	-53.64	48.17
red625	-53.64	48.17
red626	-53.64	48.17
red627	-53.64	48.17
red628	-53.64	48.17
red629	-53.64	48.17
red630	-53.64	48.17
red714	-50.05	42.76
red715	-50.05	42.76
red716	-50.05	42.76
red717	-50.05	42.76
red718	-50.05	42.76
red722	-50.05	42.76
red805	-50.05	42.76
red807	-50.05	42.76
red808	-50.05	42.76
red809	-50.05	42.76
red810	-50.05	42.76
red812	-50.05	42.76
red814	-50.05	42.76
red815	-50.05	42.76
red816	-50.05	42.76
red817	-50.05	42.76
red819	-50.05	42.76
red820	-50.05	42.76
red821	-50.05	42.76
